label,accuracy,provider,device_id,timestamp,double_speed,double_bearing,double_altitude,double_latitude,double_longitude
,64,gps,c8524dee-8a13-45b9-85f8-9073f7a9177e,1676305149256,-1.0,-1.0,169.09271240234375,38.6470947265625,-90.30767549882046
,64,gps,c8524dee-8a13-45b9-85f8-9073f7a9177e,1676305329259,-1.0,-1.0,169.09271240234375,38.64712180148715,-90.30767549882046
,35,fused,c8524dee-8a13-45b9-85f8-9073f7a9177e,1676305449593,-1.0,-1.0,168.63956451416016,38.64715878349415,-90.3077373623944
,64,gps,c8524dee-8a13-45b9-85f8-9073f7a9177e,1676305509263,-1.0,-1.0,169.09271240234375,38.64712180148715,-90.30767549882046
,64,gps,c8524dee-8a13-45b9-85f8-9073f7a9177e,1676305689265,-1.0,-1.0,169.09271240234375,38.64712180148715,-90.30767549882046
,35,fused,c8524dee-8a13-45b9-85f8-9073f7a9177e,1676305749545,-1.0,-1.0,168.93612670898438,38.647153846867205,-90.3077267599302
,64,gps,c8524dee-8a13-45b9-85f8-9073f7a9177e,1676305869269,-1.0,-1.0,169.09271240234375,38.64712180148715,-90.30767549882046
,64,gps,c8524dee-8a13-45b9-85f8-9073f7a9177e,1676306049270,-1.0,-1.0,169.09271240234375,38.64712180148715,-90.30767549882046
,110,fused,c8524dee-8a13-45b9-85f8-9073f7a9177e,1676306049548,-1.0,-1.0,166.82640457153317,38.647114833217394,-90.30765857869102
,64,gps,c8524dee-8a13-45b9-85f8-9073f7a9177e,1676306229274,-1.0,-1.0,169.09271240234375,38.64712180148715,-90.30767549882046
,91,fused,c8524dee-8a13-45b9-85f8-9073f7a9177e,1676306349555,-1.0,-1.0,170.6444511413574,38.648524964480316,-90.31040260657237
,91,gps,c8524dee-8a13-45b9-85f8-9073f7a9177e,1676306409276,-1.0,-1.0,173.63821029663086,38.64842277027631,-90.31002620581863
,45,gps,c8524dee-8a13-45b9-85f8-9073f7a9177e,1676306589279,-1.0,-1.0,175.6255226135254,38.64813706885856,-90.31066913887359
,45,fused,c8524dee-8a13-45b9-85f8-9073f7a9177e,1676306649550,-1.0,-1.0,172.9968147277832,38.64740192790809,-90.3090661559164
,45,gps,c8524dee-8a13-45b9-85f8-9073f7a9177e,1676306769282,-1.0,-1.0,175.6255226135254,38.64813706885856,-90.31066913887359
,45,gps,c8524dee-8a13-45b9-85f8-9073f7a9177e,1676306949284,-1.0,-1.0,175.6255226135254,38.64813706885856,-90.31066913887359
,36,fused,c8524dee-8a13-45b9-85f8-9073f7a9177e,1676306949557,-1.0,-1.0,172.6372833251953,38.64816210179619,-90.31080450906765
,45,gps,c8524dee-8a13-45b9-85f8-9073f7a9177e,1676307129261,-1.0,-1.0,175.6255226135254,38.64813706885856,-90.31066913887359
,44,fused,c8524dee-8a13-45b9-85f8-9073f7a9177e,1676307249539,-1.0,-1.0,169.54076004028317,38.647572292349565,-90.30932053382931
,110,gps,c8524dee-8a13-45b9-85f8-9073f7a9177e,1676307309258,-1.0,-1.0,168.58128738403317,38.6471794885261,-90.30791073987851
,36,gps,c8524dee-8a13-45b9-85f8-9073f7a9177e,1676307489259,-1.0,-1.0,170.93975067138672,38.64788762718379,-90.31084601960212
,43,fused,c8524dee-8a13-45b9-85f8-9073f7a9177e,1676307549536,-1.0,-1.0,169.22607421875,38.64763243825488,-90.30997383220578
,36,gps,c8524dee-8a13-45b9-85f8-9073f7a9177e,1676307669261,-1.0,-1.0,170.93975067138672,38.64788762718379,-90.31084601960212
,36,gps,c8524dee-8a13-45b9-85f8-9073f7a9177e,1676307849262,-1.0,-1.0,170.93975067138672,38.64788762718379,-90.31084601960212
,43,fused,c8524dee-8a13-45b9-85f8-9073f7a9177e,1676307849539,-1.0,-1.0,168.7509956359863,38.647497480949504,-90.30977970142872
,36,gps,c8524dee-8a13-45b9-85f8-9073f7a9177e,1676308029263,-1.0,-1.0,170.93975067138672,38.64788762718379,-90.31084601960212
,36,fused,c8524dee-8a13-45b9-85f8-9073f7a9177e,1676308149548,-1.0,-1.0,169.00688552856442,38.647831017168826,-90.31086053128868
,36,gps,c8524dee-8a13-45b9-85f8-9073f7a9177e,1676308209264,-1.0,-1.0,170.93975067138672,38.64788762718379,-90.31084601960212
,36,gps,c8524dee-8a13-45b9-85f8-9073f7a9177e,1676308389265,-1.0,-1.0,170.93975067138672,38.64788762718379,-90.31084601960212
,36,fused,c8524dee-8a13-45b9-85f8-9073f7a9177e,1676308449547,-1.0,-1.0,169.83537673950198,38.64758971758991,-90.31045392468285
,36,gps,c8524dee-8a13-45b9-85f8-9073f7a9177e,1676308569267,-1.0,-1.0,170.93975067138672,38.64788762718379,-90.31084601960212
,36,gps,c8524dee-8a13-45b9-85f8-9073f7a9177e,1676308749268,-1.0,-1.0,170.93975067138672,38.64788762718379,-90.31084601960212
,36,fused,c8524dee-8a13-45b9-85f8-9073f7a9177e,1676308749546,-1.0,-1.0,170.27790451049802,38.648023989565566,-90.31066098359301
,36,gps,c8524dee-8a13-45b9-85f8-9073f7a9177e,1676308929269,-1.0,-1.0,170.93975067138672,38.64788762718379,-90.31084601960212
,36,fused,c8524dee-8a13-45b9-85f8-9073f7a9177e,1676309049537,-1.0,-1.0,170.73824691772458,38.64801409614905,-90.31063330411095
,36,gps,c8524dee-8a13-45b9-85f8-9073f7a9177e,1676309109265,-1.0,-1.0,170.93975067138672,38.64788762718379,-90.31084601960212
,36,gps,c8524dee-8a13-45b9-85f8-9073f7a9177e,1676309289266,-1.0,-1.0,170.93975067138672,38.64788762718379,-90.31084601960212
,35,fused,c8524dee-8a13-45b9-85f8-9073f7a9177e,1676309349542,-1.0,-1.0,167.33585357666016,38.648105813074935,-90.31155291502745
,28,gps,c8524dee-8a13-45b9-85f8-9073f7a9177e,1676309469267,-1.0,-1.0,167.38740158081058,38.64815597015277,-90.3116958576948
,28,gps,c8524dee-8a13-45b9-85f8-9073f7a9177e,1676309649268,-1.0,-1.0,167.38740158081058,38.64815597015277,-90.3116958576948
,35,fused,c8524dee-8a13-45b9-85f8-9073f7a9177e,1676309649550,-1.0,-1.0,168.10102081298828,38.64802910774818,-90.31201634617491
,28,gps,c8524dee-8a13-45b9-85f8-9073f7a9177e,1676309829269,-1.0,-1.0,167.38740158081058,38.64815597015277,-90.3116958576948
